更新时间,#genre#
内蒙古卫视[206ms|公网],http://play1-qk.nmtv.cn/live/1769652018126032.m3u8
内蒙古卫视[加],https://live.264788.xyz/channel/neimengguweishi?streamid=3e7340acf8869ac1c7dad1bb836dcd35&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
内蒙古卫视[加],https://live.264788.xyz/channel/neimengguweishi?streamid=81a015dbecf3031d7d847b7a9b059f67&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
天津卫视[209ms|联通],http://125.42.148.178:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视[252ms|电信],http://222.169.85.8:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视[209ms|联通],http://123.130.84.106:8154/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视[210ms|公网],http://gmxw.7766.org:808/hls/40/index.m3u8
安徽卫视[319ms|联通],http://125.42.148.178:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视[210ms|联通],http://125.42.148.178:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视[公网],http://live.zohi.tv/video/s10001-fztv-3/index.m3u8
山东卫视[211ms|联通],http://123.130.84.106:8154/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视[216ms|联通],http://123.130.84.106:8154/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视[218ms|公网],http://221.7.175.154:8445/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视[221ms|联通],http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8#
延边卫视[美],https://srs.iyb983.cn:443/video/CYS/index.m3u8
延边卫视[美],https://srs.iyb983.cn/video/CYS/index.m3u8
安多卫视[235ms|公网],https://liveout.xntv.tv/a65jur/96iln2.m3u8
江苏卫视[239ms|联通],http://125.42.148.178:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育[244ms|公网],https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
山西卫视[251ms|公网],http://119.39.9.8:9901/tsfile/live/0118_1.m3u8
山西卫视[加],https://live.264788.xyz/channel/shanxiweishi?streamid=eeb7d60ca6e0db131ea7a092a3cd28d2&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
山西卫视[加],https://live.264788.xyz/channel/shanxiweishi?streamid=69e002ac7467d661ff7ad0671ed43f16&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
厦门卫视[257ms|联通],http://125.42.148.178:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视[258ms|公网],http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd;http://218.84.12.186:8001/hls/main/playlist.m3u8zxinjd
新疆卫视[加],https://live.264788.xyz/channel/xinjiangweishi?streamid=4f481f56ae39ce5d24203471de9df635&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
广东卫视[260ms|电信],http://222.169.85.8:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视[304ms|联通],http://125.42.148.178:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视[美],https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
黑龙江卫视[356ms|联通],http://61.136.172.236:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视[联通],http://125.42.148.178:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视[美],http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
湖南卫视[美],https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
北京卫视[联通],http://125.42.148.178:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视[联通],http://61.136.172.236:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
福建海峡卫视[美],http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8
福建海峡卫视[美],http://38.64.72.148/hls/modn/list/4009/playlist.m3u8
福建海峡卫视[美],http://38.64.72.148:80/hls/modn/list/4009/chunklist0.m3u8
青海卫视[美],https://hls-qhmh.lanzhousobey.cn/qhmh/mhds.m3u8
人间卫视[台],https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
人间卫视[台],http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
四川卫视[加],https://live.264788.xyz/channel/sichuanweishi4k?streamid=401bf692a1a8b91298f26077d53316d6&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
四川卫视[加],https://live.264788.xyz/channel/sichuanweishi4k?streamid=21be5901ee81559c827dc84e46f26452&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
宁夏卫视[加],https://live.264788.xyz/channel/ningxiaweishi?streamid=e1236348f815c36a0429357e5b5c5f10&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
宁夏卫视[加],https://live.264788.xyz/channel/ningxiaweishi?streamid=551474d02bee1c160e1692e22c45ddba&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
宁夏卫视[加],https://live.264788.xyz/channel/ningxiaweishi?streamid=1b2952717a920173e66d4a348f9dcb5c&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
陕西卫视[加],https://live.264788.xyz/channel/shaanxiweishi?streamid=9dc887dba8ecb4e4143baf4f2373800c&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
贵州卫视[加],https://live.264788.xyz/channel/guizhouweishi?streamid=091bd59ea031989839c23459bb8cc9d4&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk

地方频道,#genre#
安徽导视[157ms|移动],http://dspdhls.appcoo.com:8888/live/dspd/index.m3u8
易门综合[161ms|公网],https://zb-live.ynurl.com/yimen/3b75a2f9-7941-46b7-992d-a9796fbca5fe.m3u8
天祝综合[164ms|公网],https://play.kankanlive.com/live/1656487214793905.m3u8
嘉峪关综合[165ms|公网],http://play.kankanlive.com/live/1720583434627241.m3u8
陕西都市青春[167ms|移动],http://112.46.105.20:8009/hls/19/index.m3u8
浙江公共新闻[167ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江公共新闻[169ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江公共新闻[177ms|移动],https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江经济[168ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel03/720p.m3u8
浙江经济[173ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江经济[199ms|移动],https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8?
浙江国际[168ms|移动],https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8?
浙江国际[168ms|移动],https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江国际[173ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江经济生活[168ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8#http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江经济生活[173ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江经济生活[255ms|公网],http://ali-vl.cztv.com/channels/lantian/channel003/360p.m3u8
浙江新闻[169ms|移动],https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8?
浙江新闻[168ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel07/720p.m3u8
浙江新闻[171ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel007/720p.m3u8
浙江经视[169ms|移动],https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江经视[173ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel003/720p.m3u8
陕西新闻咨询[169ms|移动],http://112.46.105.20:8009/hls/18/index.m3u8
浙江民生[170ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel06/720p.m3u8
浙江民生[170ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江民生[173ms|移动],https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8?
中国蓝新闻[170ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel009/1080p.m3u8
陕西银龄[171ms|移动],http://112.46.105.20:8009/hls/20/index.m3u8
浙江休闲台[171ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel006/720p.m3u8
广州综合[171ms|公网],https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=439b0fd2cf766b363c93a59cbcbe1370&txTime=18d00acf488
广州综合[198ms|公网],http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8
广州综合[205ms|电信],https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487
浙江数码时代[172ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel12/720p.m3u8
浙江数码时代[179ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel12/720p.m3u8?zzhed
浙江钱江[173ms|移动],https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8?
浙江钱江[223ms|联通],http://l.cztvcloud.com/channels/lantian/SXyuyao2/720p.m3u8
西安新闻[173ms|移动],http://112.46.105.20:8009/hls/28/index.m3u8
浙江教育[174ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel04/720p.m3u8
西安都市[175ms|移动],http://112.46.105.20:8009/hls/29/index.m3u8
浙江教科[180ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
广州竞赛[188ms|公网],http://8.138.7.223/tv/gzjs.m3u8
浙江钱江频道[191ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江民生休闲[192ms|移动],https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江民生休闲[247ms|公网],http://ali-vl.cztv.com/channels/lantian/channel006/360p.m3u8
陕西秦腔[194ms|移动],http://112.46.105.20:8009/hls/22/index.m3u8
南国都市[194ms|公网],http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4
浙江钱江都市[195ms|移动],https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江钱江都市[美],http://ali-xwl.cztv.com/live/channel021080Plxw.m3u8
浙江钱江都市[美],http://ali-xwl.cztv.com/live/channel02720Plxw.m3u8
梨园[195ms|公网],https://dxtx.hntv.tv/live/lypd.m3u8?txSecret=10c771842a0be59e8b575d765173ec96&txTime=7B923E0A&wsSecret=41543190cdf375f1c73207222bb96542&wsTime=1769313549
永昌综合[195ms|公网],https://play.kankanlive.com/live/1652755738635915.m3u8
通海电视台[195ms|公网],https://zb-live.ynurl.com/tonghai/3bfe3a9e-48e6-4c1e-8770-1df66447cc6c.m3u8
延边2[196ms|公网],http://stream5.jlntv.cn/wq/playlist.m3u8
兰溪新闻综合[197ms|联通],http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8
广东民生[198ms|公网],http://183.11.239.36:808/hls/18/index.m3u8
黄山新闻综合[198ms|公网],http://hslive.hsnewsnet.com/lsdream/hve9Wjs/1000/live.m3u8?zanhd
黄山新闻综合[203ms|公网],http://hslive.hsnewsnet.com/lsdream/hve9Wjs/1000/live.m3u8
河北农民[198ms|公网],https://jwcdnqx.hebyun.com.cn/live/clzhpd/1500k/tzwj_video.m3u8?zhebd
汶川新闻综合[198ms|移动],http://live.iwcmt.cn:90/live/zhxw.m3u8
汶川新闻综合[206ms|移动],http://live.iwcmt.cn:90/live/zhxw.m3u8?zsicd
汶川新闻综合[236ms|公网],http://file.ysxtv.cn/cms/videos/nmip-media/channellive/channel4/playlist.m3u8?zsicd#rtmp://tv.mcrm.org.cn:1935/channellive/tv01
渭源新闻[198ms|公网],http://play.kankanlive.com/live/1720408280309109.m3u8
邯郸公共频道[199ms|公网],https://jwcdnqx.hebyun.com.cn/live/hdgg/1500k/tzwj_video.m3u8
绍兴公共[199ms|公网],http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
邢台综合[200ms|公网],http://jwplay.hebyun.com.cn/live/xtsrmtzs/1500k/tzwj_video.m3u8
邢台综合[211ms|公网],https://jwplay.hebyun.com.cn:443/live/xtsrmtzs/1500k/tzwj_video.m3u8
邯郸科技教育[200ms|公网],https://jwcdnqx.hebyun.com.cn/live/hdkj/1500k/tzwj_video.m3u8
松阳综合[200ms|联通],http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8?zzhed?
松阳综合[206ms|联通],http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
清河经济综艺[201ms|公网],https://jwcdnqx.hebyun.com.cn/live/qinghe1/1500k/tzwj_video.m3u8
固镇新闻[202ms|公网],http://www.guzhenm.com:7001/hls/hd-live.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]
固镇新闻[206ms|公网],http://www.guzhenm.com:7001/hls/hd-live.m3u8
白银综合[203ms|公网],http://play.kankanlive.com/live/1720408089419110.m3u8
萧山生活[204ms|联通],http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
萧山生活[210ms|联通],https://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
萧山生活[213ms|联通],http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8?zzhed
余姚综合[204ms|联通],http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8?
余姚综合[206ms|联通],http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8?zzhed
余姚综合[236ms|联通],https://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
开化国家公园[204ms|联通],http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8?zzhed#http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8zzhed#http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8
开化国家公园[207ms|联通],http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8?zzhed
开化国家公园[219ms|联通],http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8zzhed
龙井综合[205ms|公网],http://stream9.jlntv.cn:80/aac_longjinggb/playlist.m3u8
龙游生活娱乐[205ms|联通],https://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
龙游生活娱乐[联通],http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8?zzhed
可克达拉综合[205ms|公网],http://file.loulannews.cn/nmip-media/channellive/channel103824/playlist.m3u8
邯郸新闻[206ms|公网],https://jwcdnqx.hebyun.com.cn/live/hdxwzh/1500k/tzwj_video.m3u8
永嘉新闻综合[206ms|联通],http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8
洞头综合[206ms|联通],http://l.cztvcloud.com/channels/lantian/SXdongtou1/720p.m3u8?zzhed?
洞头综合[233ms|联通],http://l.cztvcloud.com/channels/lantian/SXdongtou1/720p.m3u8
任丘综合[206ms|公网],https://jwcdnqx.hebyun.com.cn/live/rqtv1/1500k/tzwj_video.m3u8
文成新闻综合[206ms|联通],http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
无锡经济[207ms|公网],http://stream.thmz.com/wxtv5/playlist.m3u8?_upt=10155d141706166867
无锡经济[212ms|公网],http://stream.thmz.com/wxtv5/sd/live.m3u8?zjiangsd
无锡经济[215ms|公网],http://stream.thmz.com/wxtv5/sd/live.m3u8?_upt=cfacd5221704890772
龙泉新闻综合[207ms|联通],http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
新闻综合[207ms|公网],https://m3u8channel.yunxya.com/nmip-media/channellive/channel100028/playlist.m3u8
平湖民生休闲[207ms|联通],http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8?zzhed
平湖民生休闲[215ms|联通],http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8
滦平新闻[207ms|公网],http://jwplay.hebyun.com.cn/live/LPTV001/1500k/tzwj_video.m3u8
磐石综合[207ms|公网],http://stream3.jlntv.cn:80/aac_psgb/sd/live.m3u8
南宁都市生活[207ms|公网],http://615bbf179ba53515dccad7b1da5d1ad9.livehwc3.cn/hls.nntv.cn/nnlive/WLSH_24.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=2598844eaee8a4265e706fc14b3fc11d
双辽综合[208ms|公网],http://stream3.jlntv.cn:80/aac_slgb/playlist.m3u8
昌黎综合[208ms|公网],https://jwcdnqx.hebyun.com.cn/live/clzhpd/1500k/tzwj_video.m3u8
西峰综合[208ms|公网],https://play.kankanlive.com/live/1683944827526991.m3u8
邢台生活[208ms|公网],https://jwcdnqx.hebyun.com.cn/live/xtcsshpd/1500k/tzwj_video.m3u8
庆元新闻综合[208ms|联通],http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8?fbl=
云霄综合[208ms|公网],http://live.zzyxxw.com:85/live/xwzh.m3u8?fujian
云霄综合[209ms|公网],http://live.zzyxxw.com:85/live/xwzh.m3u8
云霄综合[210ms|公网],http://live.zzyxxw.com:85/live/xwzh.m3u8?fujian,
句容影院[209ms|公网],http://jrlive.jrntv.com/live/_definst_/yingshis/chunklist_w1994429382.m3u8?zjiangsd
武义新闻综合[209ms|联通],http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8
武义新闻综合[226ms|联通],http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8?zzhed
辉南新闻综合[209ms|公网],http://stream5.jlntv.cn/hn/sd/live.m3u8
通化县综合[209ms|公网],http://stream3.jlntv.cn:80/aac_thxgb/playlist.m3u8
镇江二套社会民生[209ms|移动],http://zjtv-wshls.homecdn.com/live/2aa16.m3u8
来宾综合[210ms|公网],http://zb.gxlbamc.com:1935/live/lbzh.stream/playlist.m3u8
广州新闻[210ms|移动],http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3
无锡生活[210ms|公网],http://stream.thmz.com/wxtv4/playlist.m3u8?_upt=8c51357c1707362770
无锡生活[211ms|公网],http://stream.thmz.com/wxtv4/sd/live.m3u8?_upt=978cd8731706199708
无锡生活[215ms|公网],http://stream.thmz.com/wxtv4/sd/live.m3u8
云和新闻综合[210ms|联通],http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8?zzhed
云和新闻综合[221ms|联通],http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8
无锡新闻综合[210ms|公网],http://stream.thmz.com/wxtv1/sd/live.m3u8?_upt=4ba3ab191698644028
无锡新闻综合[211ms|公网],http://stream.thmz.com/wxtv1/sd/live.m3u8?zjiangsd#http://stream.thmz.com/wxtv1/playlist.m3u8?_upt=156143371706166361#http://stream.thmz.com/wxtv1/sd/live.m3u8?_upt=4ba3ab191698644028#http://stream.thmz.com/wxtv1/playlist.m3u8
无锡新闻综合[223ms|公网],http://stream.thmz.com/wxtv1/playlist.m3u8?_upt=156143371706166361
无锡都市资讯[211ms|公网],http://stream.thmz.com/wxtv3/sd/live.m3u8
无锡都市资讯[220ms|公网],http://stream.thmz.com/wxtv3/playlist.m3u8?_upt=1758133b1706166861
无锡都市资讯[220ms|公网],http://stream.thmz.com/wxtv3/sd/live.m3u8?zjiangsd#http://stream.thmz.com/wxtv3/sd/live.m3u8?_upt=978cd8731706199708#http://stream.thmz.com/wxtv3/playlist.m3u8#http://stream.thmz.com/wxtv3/playlist.m3u8?_upt=1758133b1706166861
浙江遂昌[211ms|联通],http://l.cztvcloud.com/channels/lantian/SXsuichang1/720p.m3u8
长白朝语[211ms|公网],http://hplayer1.juyun.tv:80/camera/11344136.m3u8
河北都市[212ms|移动],https://radio.pull.hebtv.com/live/hebnczx.m3u8
云南娱乐[212ms|移动],https://hwapi.yntv.net/62hdvf/q9vs1b.m3u8
庆元综合[212ms|联通],http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8
庆元综合[联通],http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8?zzhed?
万州三峡移民[212ms|联通],http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8
上虞新商都[213ms|联通],http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
嵊州新闻综合[213ms|联通],http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed#http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
萧山新闻综合[213ms|联通],https://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
缙云综合[213ms|联通],http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8?zzhed?
缙云综合[230ms|联通],http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8?zzhed
张掖新闻综合[213ms|公网],https://play.kankanlive.com/live/1720583434627241.m3u8
长白山电视台[214ms|公网],http://stream8.jlntv.cn/cbstv/sd/live.m3u8?zjild
东莞新闻综合[214ms|公网],https://stream.sun0769.com/dgrtv1/mp4tv1_800/index.m3u8
兴隆综合[214ms|公网],https://jwcdnqx.hebyun.com.cn/live/xlzh/1500k/tzwj_video.m3u8
平泉综合[215ms|公网],https://jwcdnqx.hebyun.com.cn/live/pqzh/1500k/tzwj_video.m3u8
余杭综合[215ms|联通],http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8
余杭综合[231ms|联通],http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8?zzhed
新沂新闻[215ms|电信],http://live.xysrmt.cn/xwzh/sd/live.m3u8?zjiangsd"
余姚姚江文化[215ms|联通],https://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8
余姚姚江文化[230ms|联通],http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8?zzhed
万荣综合[215ms|公网],http://60.222.246.220:19433/hls1.m3u8
新昌新闻综合[216ms|联通],https://l.cztvcloud.com/channels/lantian/SXxinchang1/720p.m3u8
绍兴电视台公共[217ms|公网],http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]
无锡娱乐[217ms|公网],http://stream.thmz.com/wxtv2/sd/live.m3u8?_upt=acffe97a1704940314
无锡娱乐[223ms|公网],http://stream.thmz.com/wxtv2/playlist.m3u8?_upt=5ff4061f1706166872
无锡娱乐[228ms|公网],http://stream.thmz.com/wxtv2/sd/live.m3u8?_upt=978cd8731706199708
嘉兴新闻综合[217ms|公网],http://tvfile.jyrmt.cn:80/nmip-media/channellive/channel104452/playlist.m3u8
嘉兴新闻综合[225ms|公网],http://live.zohi.tv/video/s10001-fztv-1/index.m3u8
萧山综合[219ms|联通],http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
嵊泗综合[220ms|联通],http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed
嵊泗综合[227ms|联通],http://l.cztvcloud.com/channels/lantian/SXshengsi1/720p.m3u8
青川综合[220ms|公网],http://qcfile.qcrmt.com/nmip-media/channellive/channel100933/playlist.m3u8
开化新闻综合[221ms|联通],http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8?zzhed
哈尔滨资讯[221ms|公网],http://stream.hrbtv.net/zxpd/sd/live.m3u8
文成综合[221ms|联通],http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8?zzhed
文成综合[联通],http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8?zzhed?
